iter	Logloss
0	0.6813711778
1	0.6706510574
2	0.6619311827
3	0.6519060661
4	0.6426246813
5	0.6331608188
6	0.6246692653
7	0.6153755224
8	0.6078058036
9	0.60093646
10	0.5953571661
11	0.5884253944
12	0.582179271
13	0.5760431936
14	0.5701496475
15	0.5647467625
16	0.5589352292
17	0.5540136159
18	0.5497820776
19	0.5442374301
20	0.5394770098
21	0.535559239
22	0.5315056122
23	0.5278273536
24	0.5238673874
25	0.5207405573
26	0.5167397956
27	0.5131873905
28	0.5109438325
29	0.5079751314
30	0.5048652714
31	0.5019483991
32	0.4993557326
33	0.4972727331
34	0.4950225384
35	0.4925735149
36	0.4904953099
37	0.4884635264
38	0.4862836852
39	0.4845725411
40	0.483015614
41	0.4808584883
42	0.478571793
43	0.4769493174
44	0.4753892812
45	0.4740540613
46	0.4720228866
47	0.47023458
48	0.4684371836
49	0.4667941571
50	0.4650466266
51	0.4637145874
52	0.462501087
53	0.4614855722
54	0.4603752532
55	0.4589989194
56	0.4576726959
57	0.4566848192
58	0.4553559129
59	0.4545272293
60	0.4535192662
61	0.452398091
62	0.4512998434
63	0.4503197065
64	0.4494842983
65	0.4487997041
66	0.447793989
67	0.4471032396
68	0.44636028
69	0.4457186379
70	0.4451312126
71	0.4446632851
72	0.443786375
73	0.4430798868
74	0.4425589125
75	0.4420843862
76	0.4414220565
77	0.4408767171
78	0.4402384308
79	0.4395782682
80	0.4390468775
81	0.4384869999
82	0.438022516
83	0.437525353
84	0.4371654143
85	0.4366258134
86	0.4362749654
87	0.4358545711
88	0.4354843649
89	0.4349828148
90	0.4343598531
91	0.4337163626
92	0.4333436055
93	0.4328609096
94	0.4324870686
95	0.4322578932
96	0.4319478653
97	0.4313832881
98	0.4310438649
99	0.4307607236
100	0.4303683328
101	0.4299342187
102	0.4295740894
103	0.429165804
104	0.4289015315
105	0.428633693
106	0.4283903746
107	0.4280211917
108	0.4275592753
109	0.4273135926
110	0.4269837139
111	0.4268059375
112	0.4265983153
113	0.4262515754
114	0.4259645073
115	0.4257948804
116	0.4255482699
117	0.4254060636
118	0.4250437057
119	0.4246966523
120	0.4244405761
121	0.424264405
122	0.4241540872
123	0.4239167571
124	0.4235990506
125	0.4234049199
126	0.4230743893
127	0.4228812847
128	0.4226687542
129	0.4223550543
130	0.4221981873
131	0.4220241533
132	0.4218679774
133	0.4217374958
134	0.4215429908
135	0.4214092098
136	0.4212188991
137	0.4210566716
138	0.4209310026
139	0.4207146801
140	0.4205374774
141	0.4204688862
142	0.4203115715
143	0.4201171512
144	0.4199112268
145	0.41978088
146	0.4197259972
147	0.4194687857
148	0.4192990908
149	0.4191864759
150	0.4190492928
151	0.418993756
152	0.418825948
153	0.4187291353
154	0.4186862466
155	0.4185912335
156	0.4184295618
157	0.4182789934
158	0.4181877419
159	0.4180641618
160	0.4179210063
161	0.4178286886
162	0.4177127033
163	0.4175852947
164	0.4174841959
165	0.4174075109
166	0.4173514203
167	0.4172155957
168	0.4171156916
169	0.4169743151
170	0.4169100441
171	0.4168782695
172	0.4167964916
173	0.4166448755
174	0.4166038714
175	0.416446257
176	0.4163226688
177	0.4161779247
178	0.4160952593
179	0.4160229338
180	0.415976534
181	0.4158551987
182	0.4157583106
183	0.4157054465
184	0.4156032086
185	0.4155276569
186	0.4153931706
187	0.4152115867
188	0.4151355626
189	0.4151154413
190	0.4150322504
191	0.4149650936
192	0.4148268531
193	0.4146595321
194	0.4145577477
195	0.4144596154
196	0.4143742762
197	0.4142971052
198	0.4142901309
199	0.4142388047
200	0.4140995525
201	0.4140791861
202	0.4140239406
203	0.413971759
204	0.4139250594
205	0.4138977186
206	0.4138505252
207	0.41376199
208	0.4136883878
209	0.4135934653
210	0.4135155466
211	0.4134497063
212	0.4133769721
213	0.4133339913
214	0.4132880948
215	0.413225301
216	0.4131735362
217	0.4131345935
218	0.4130721245
219	0.4129728672
220	0.4129005802
221	0.4128616107
222	0.4128228461
223	0.4127541947
224	0.4126725862
225	0.4126451657
226	0.4125833018
227	0.4125424382
228	0.4124633981
229	0.4123490176
230	0.4122580912
231	0.4121772576
232	0.4120738094
233	0.4120293576
234	0.4119480747
235	0.4119030588
236	0.4118220539
237	0.4117614706
238	0.4117029746
239	0.4116787119
240	0.4116271471
241	0.4115647054
242	0.4114966406
243	0.4114379811
244	0.4113593453
245	0.4113028991
246	0.4112914581
247	0.41121597
248	0.4111311199
249	0.4110525621
250	0.4109955142
251	0.4108931054
252	0.410848364
253	0.4108033269
254	0.4107521149
255	0.4106865736
256	0.4106650852
257	0.4106420326
258	0.4105931009
259	0.4104334122
260	0.4104006349
261	0.4103670621
262	0.4102908533
263	0.4102110561
264	0.410092872
265	0.4100456143
266	0.4100184449
267	0.4099639947
268	0.4099151306
269	0.4098896127
270	0.4098308731
271	0.4097414669
272	0.4096791149
273	0.4096470827
274	0.4095465522
275	0.4095069279
276	0.4094678735
277	0.4094384493
278	0.4093733722
279	0.409314412
280	0.4093026914
281	0.4092587917
282	0.4092533986
283	0.409188987
284	0.4091240447
285	0.4090374692
286	0.408978502
287	0.4089467759
288	0.4089095464
289	0.4088771624
290	0.4088279198
291	0.4087950726
292	0.4087556205
293	0.4087037433
294	0.4086938136
295	0.4086390269
296	0.4085889051
297	0.4085333204
298	0.4084963048
299	0.4084576454
300	0.408428887
301	0.4084008543
302	0.4083619583
303	0.4083126462
304	0.4082704215
305	0.4082210601
306	0.408177832
307	0.4081468964
308	0.4081210688
309	0.4080904265
310	0.4080451747
311	0.4079520651
312	0.407871929
313	0.4078627596
314	0.4077769339
315	0.4077446628
316	0.4076802205
317	0.4076172027
318	0.4075827681
319	0.4075602075
320	0.4075102296
321	0.4074414879
322	0.4074098933
323	0.4073642282
324	0.4073427513
325	0.4072895911
326	0.4072588354
327	0.4072579877
328	0.4072208057
329	0.4071901842
330	0.4071447379
331	0.4071081723
332	0.4070703775
333	0.4070177096
334	0.406947554
335	0.4068773067
336	0.406838649
337	0.4067423427
338	0.406701451
339	0.4066817163
340	0.4066625529
341	0.4066202011
342	0.406602307
343	0.4065520651
344	0.4065096761
345	0.4064624257
346	0.4064356103
347	0.4063776759
348	0.4063202275
349	0.406243767
350	0.4062285352
351	0.4061581316
352	0.4061573129
353	0.4061312769
354	0.4060611482
355	0.4060387123
356	0.4059543876
357	0.4059046882
358	0.405882859
359	0.4058382086
360	0.4058089658
361	0.4057373285
362	0.4057021651
363	0.405651824
364	0.4056161192
365	0.4055303776
366	0.4054399674
367	0.4054167824
368	0.4053853644
369	0.4053139942
370	0.4052777547
371	0.40522815
372	0.4051915905
373	0.4051172169
374	0.4050350452
375	0.4049953091
376	0.404961131
377	0.4049231147
378	0.4049015337
379	0.4048667859
380	0.4048269004
381	0.4047971167
382	0.4047530414
383	0.4047333616
384	0.4046938792
385	0.4046529857
386	0.4046136344
387	0.4045504973
388	0.4045154472
389	0.4044515314
390	0.4044225916
391	0.4043979078
392	0.4043500536
393	0.4043429085
394	0.4043029887
395	0.4042090339
396	0.4041804416
397	0.4041349058
398	0.4040655284
399	0.404023456
400	0.4039983977
401	0.4039841097
402	0.4039556164
403	0.4039048875
404	0.4038573197
405	0.4038166932
406	0.4037930877
407	0.4037065333
408	0.4036638483
409	0.4036077187
410	0.403575782
411	0.4035406413
412	0.4034718709
413	0.4034303279
414	0.403411144
415	0.4033583627
416	0.4033129003
417	0.4032879596
418	0.403231784
419	0.4032123202
420	0.4031796004
421	0.4031314763
422	0.4030934581
423	0.4030492274
424	0.4030292597
425	0.4029942739
426	0.4029449924
427	0.402917742
428	0.4028803342
429	0.402827188
430	0.4027130458
431	0.4026590159
432	0.4026099463
433	0.4025439336
434	0.4024915346
435	0.4024543959
436	0.4023756654
437	0.402349179
438	0.4023351992
439	0.4022530363
440	0.402194311
441	0.4021406727
442	0.4020861457
443	0.402040772
444	0.401986829
445	0.4019351936
446	0.4018998127
447	0.4018478391
448	0.4018134204
449	0.4017701357
450	0.4017393763
451	0.401709298
452	0.401682549
453	0.401642685
454	0.4015802136
455	0.4015031556
456	0.4014233411
457	0.40139383
458	0.4013028733
459	0.4012616481
460	0.4012121906
461	0.4011761665
462	0.4011523943
463	0.4010871077
464	0.401048493
465	0.4009977021
466	0.4009170682
467	0.4008774175
468	0.4008245074
469	0.4007884902
470	0.4007550991
471	0.4007176332
472	0.4006752528
473	0.4005931946
474	0.4005472783
475	0.4005056564
476	0.4004591684
